0,1,2
target,prediction,input
oEffect,xIntent,PersonX hardens pharaoh 's ___--The pharaoh screams in extraordinary pain
oEffect,xIntent,PersonX hardens pharaoh 's ___--The pharaoh dies
oEffect,xIntent,PersonX shuts PersonY's ___ to the fact--make a choice they otherwise wouldn't have made
oEffect,xIntent,PersonX shuts PersonY's ___ to the fact--ignore the fact
oEffect,xIntent,PersonX affects children 's ___--gets rewarded
oEffect,xIntent,PersonX affects children 's ___--none
oEffect,xIntent,PersonX affects children 's ___--none
oEffect,xIntent,PersonX improves PersonY's ___ as understood--none
oEffect,xIntent,PersonX believes every ___--may get hurt
oEffect,xIntent,PersonX believes every ___--may become angry
oEffect,xIntent,PersonX bears ___ unto the PersonY--person y runs away
oEffect,xIntent,PersonX turns the enemy 's ___--fight
oEffect,xIntent,PersonX lays PersonX's ___ upon PersonY--gets increased responsibility
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--make money on their stuff.
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--gain more space in home.
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--make money
oEffect,xIntent,PersonX sells PersonY's ___ to the bidder--get rid of something
oEffect,xIntent,PersonX holds PersonY's ___ in PersonX's hands--smiles
oEffect,xIntent,PersonX holds PersonY's ___ in PersonX's hands--gets protected
oEffect,xIntent,PersonX summarizes the ___ far--learn something
oEffect,xIntent,PersonX summarizes the ___ far--review something
oEffect,xIntent,PersonX teaches ___ to speak--get talked to by more people
oEffect,xIntent,PersonX teaches ___ to speak--has a conversation
oEffect,xIntent,PersonX resists ___ by force--Is knocked back
oEffect,xIntent,PersonX employs every ___--got job
oEffect,xIntent,PersonX employs every ___--manage family
oEffect,xIntent,PersonX employs every ___--earning money
oEffect,xIntent,PersonX employs every ___--doing work
oEffect,xIntent,PersonX turns PersonY's ___ to matters--shows appreciation
oEffect,xIntent,PersonX turns PersonY's ___ to matters--shows grati
oEffect,xIntent,PersonX uses ___ as possible--TO BE GREAT
oEffect,xIntent,PersonX shakes PersonX's ___ in disbelief--none
oEffect,xIntent,PersonX shakes PersonX's ___ in disbelief--none
oEffect,xIntent,PersonX shakes PersonX's ___ in disbelief--none
oEffect,xIntent,PersonX puts PersonY ___ around PersonZ--smiles
oEffect,xIntent,PersonX understands PersonY's ___ better--got a raise
oEffect,xIntent,PersonX pays another ___--answers the door
oEffect,xIntent,PersonX pays another ___--has a conversation
oEffect,xIntent,PersonX saves PersonY's ___ from destruction--things stay safe
oEffect,xIntent,PersonX loses ___ of time--none
oEffect,xIntent,PersonX loses ___ of time--none
oEffect,xIntent,PersonX loses ___ of time--none
oEffect,xIntent,PersonX holds ___ for year--Economy grew
oEffect,xIntent,PersonX holds ___ for year--Life was better
oEffect,xIntent,PersonX affords PersonY every ___--They make a lot of money
oEffect,xIntent,PersonX affords PersonY every ___--none
oEffect,xIntent,PersonX saves a man 's ___--man lives
oEffect,xIntent,PersonX left PersonX's ___ behind--none
oEffect,xIntent,PersonX left PersonX's ___ behind--none
oEffect,xIntent,PersonX studies carefully the ___--Passed the test
oEffect,xIntent,PersonX studies carefully the ___--Works for her
oEffect,xIntent,PersonX treats ___ fairly--show gratitude
oEffect,xIntent,PersonX left PersonX's ___ behind PersonY--sighs in frustration
oEffect,xIntent,PersonX left PersonX's ___ behind PersonY--none
oEffect,xIntent,PersonX settles ___ by means--live peacefully
oEffect,xIntent,PersonX plays the ___ according--lose the game
oEffect,xIntent,PersonX plays the ___ according--are removed from the competition
oEffect,xIntent,PersonX hides PersonX's ___ in PersonY's hands--comforts
oEffect,xIntent,PersonX hides PersonX's ___ in PersonY's hands--squeezes
oEffect,xIntent,PersonX hides PersonX's ___ in PersonY's hands--none
oEffect,xIntent,PersonX raises ___ from sources--wants to learn what they did
oEffect,xIntent,PersonX raises ___ from sources--wants to earn money as well
oEffect,xIntent,PersonX sets PersonY's ___ on fire--gets seriously hurt
oEffect,xIntent,PersonX holds ___ with PersonY's forms--gets approved for a loan
oEffect,xIntent,PersonX holds ___ with PersonY's forms--gets a paper cut
oEffect,xIntent,PersonX slams the ___ behind PersonY--shouts
oEffect,xIntent,PersonX slams the ___ behind PersonY--yells
oEffect,xIntent,PersonX puts PersonX's ___ around PersonY--gets a hug
oEffect,xIntent,PersonX puts PersonX's ___ around PersonY--transfers affection
oEffect,xIntent,PersonX walks ___ by side--foot is stepped on
oEffect,xIntent,PersonX walks ___ by side--is asked questions
oEffect,xIntent,PersonX walks ___ by side--gets engaged in conversation
oEffect,xIntent,PersonX sets the ___ on fire--escapes from fire
oEffect,xIntent,PersonX affects every ___--people make decisions
oEffect,xIntent,PersonX affects every ___--none
oEffect,xIntent,PersonX affects every ___--none
oEffect,xIntent,PersonX spends ___ talking--receives new information
oEffect,xIntent,PersonX spends ___ talking--gets tired of listening
oEffect,xIntent,PersonX carries PersonY's ___ into execution--dies
oEffect,xIntent,PersonX hands back the ___--receives item
oEffect,xIntent,PersonX sets PersonY ___ on edge--frowns
oEffect,xIntent,PersonX thanks ___ for permission--none
oEffect,xIntent,PersonX thanks ___ for permission--none
oEffect,xIntent,PersonX thanks ___ for permission--other person says no problem
oEffect,xIntent,PersonX teaches or practice ___--gets bored
oEffect,xIntent,PersonX keeps the ___ in check--avert disaster
oEffect,xIntent,PersonX keeps the ___ in check--maintain the norms
oEffect,xIntent,PersonX holds PersonX's ___ in PersonX's hands--cries
oEffect,xIntent,PersonX holds PersonX's ___ in PersonX's hands--smiles
oEffect,xIntent,PersonX plays a ___ in the revolution--quells revolt
oEffect,xIntent,PersonX interprets the ___ in terms--Understand
oEffect,xIntent,PersonX meets children 's ___--is given more information
oEffect,xIntent,PersonX destroys the enemy 's ___--win war
oEffect,xIntent,PersonX hides PersonY's ___ in PersonX's hands--to play
oEffect,xIntent,PersonX hides PersonY's ___ in PersonX's hands--avoid to see
oEffect,xIntent,PersonX hides PersonY's ___ in PersonX's hands--to close to face
oEffect,xIntent,PersonX hides PersonY's ___ in PersonX's hands--to made a fun
oEffect,xIntent,PersonX hides PersonY's ___ in PersonX's hands--places
oEffect,xIntent,PersonX takest away the ___--go to heaven
oEffect,xIntent,PersonX passes PersonY examination--get's work done
oEffect,xIntent,PersonX raises PersonY army--Wins in war
oEffect,xIntent,PersonX lives with PersonY's children--eats at the house
oEffect,xIntent,PersonX lives with PersonY's children--sleeps at the house
oEffect,xIntent,PersonX secures PersonY's position--get the job.
oEffect,xIntent,PersonX secures PersonY's position--get a paycheck.
oEffect,xIntent,PersonX secures PersonY's position--become part of a team.
oEffect,xIntent,PersonX finds PersonY answer--see's what they think about the answer
oEffect,xIntent,PersonX confesses PersonX's sins--none
oEffect,xIntent,PersonX confesses PersonX's sins--none
oEffect,xIntent,PersonX expresses PersonY thanks--shakes hands
oEffect,xIntent,PersonX expresses PersonY thanks--walks away
oEffect,xIntent,PersonX expresses PersonY thanks--says you're welcome
oEffect,xIntent,PersonX loses PersonX's reason--none
oEffect,xIntent,PersonX loses PersonX's reason--none
oEffect,xIntent,PersonX finds PersonY outlet--learns where outlet is
oEffect,xIntent,PersonX finds PersonY outlet--uses outlet
oEffect,xIntent,PersonX finds PersonY outlet--none
oEffect,xIntent,PersonX puts PersonY to flight--travel fast
oEffect,xIntent,PersonX puts PersonY to flight--learn something
oEffect,xIntent,PersonX sets aside the ___--none
oEffect,xIntent,PersonX sets aside the ___--none
oEffect,xIntent,PersonX answers PersonY question--smiles
oEffect,xIntent,PersonX answers PersonY question--hear's the answer
oEffect,xIntent,PersonX tells PersonY saw--none
oEffect,xIntent,PersonX tells PersonY saw--none
oEffect,xIntent,PersonX becomes PersonY object--is obsessed
oEffect,xIntent,PersonX becomes PersonY object--pays attention
oEffect,xIntent,PersonX inherits from PersonX's mother--leave earthly goods behind
oEffect,xIntent,PersonX holds in PersonY hand--start sweating
oEffect,xIntent,PersonX holds in PersonY hand--start breathing heavily
oEffect,xIntent,PersonX works every ___--are greatfull for the work
oEffect,xIntent,PersonX adopts PersonY attitude--gets a compliment
oEffect,xIntent,PersonX adopts PersonY attitude--gets thanked
oEffect,xIntent,PersonX shakes PersonY hand--receives a smile
oEffect,xIntent,PersonX shakes PersonY hand--gets a wet hand
oEffect,xIntent,PersonX sees PersonX's sister--talks
oEffect,xIntent,PersonX increases PersonX's output--Boss gives him a raise.
oEffect,xIntent,PersonX makes PersonY's case--Receives retribution
oEffect,xIntent,PersonX makes PersonY's case--wins the case
oEffect,xIntent,PersonX accepts PersonY invitation--throws a party
oEffect,xIntent,PersonX addresses PersonY audience--want's to see personY
oEffect,xIntent,PersonX addresses PersonY audience--hopes it's a good show
oEffect,xIntent,PersonX addresses PersonY audience--walks on stage
oEffect,xIntent,PersonX addresses PersonY audience--waves to crowd
oEffect,xIntent,PersonX proves PersonX's case--they do their job right
oEffect,xIntent,PersonX comes to PersonY's attention--is yelled at
oEffect,xIntent,PersonX comes to PersonY's attention--is stared back at
oEffect,xIntent,PersonX fills PersonY's mind--none
oEffect,xIntent,PersonX supplies PersonY's place--gets cashback
oEffect,xIntent,PersonX supplies PersonY's place--gets reward points
oEffect,xIntent,PersonX lives with PersonX's children--lose freedom
oEffect,xIntent,PersonX lives with PersonX's children--lose privacy
oEffect,xIntent,PersonX sees PersonY's sister--introduces themselves
oEffect,xIntent,PersonX takes PersonX's ___ seriously--relies on them
oEffect,xIntent,PersonX takes PersonX's ___ seriously--values their work
oEffect,xIntent,PersonX sets aside ___--none
oEffect,xIntent,PersonX sets aside ___--none
oEffect,xIntent,PersonX puts PersonY in charge--none
oEffect,xIntent,PersonX increases PersonY's output--work more efficiently
oEffect,xIntent,PersonX increases PersonY's output--get a raise
oEffect,xIntent,PersonX changes PersonX's form--performs better
oEffect,xIntent,PersonX changes PersonX's form--has less pain
oEffect,xIntent,PersonX accepts PersonY's invitation--loses money hosting event
oEffect,xIntent,PersonX asks PersonY to make--gets publicity
oEffect,xIntent,PersonX marries PersonY's daughter--receives gratitude for the wishes
oEffect,xIntent,PersonX falls on PersonX's knees--none
oEffect,xIntent,PersonX improves PersonY's status--gets a promotion
oEffect,xIntent,PersonX improves PersonY's status--is asked on a date
oEffect,xIntent,PersonX uses PersonY approach--gets thanked
oEffect,xIntent,PersonX uses PersonY approach--receives a gift
oEffect,xIntent,PersonX looks towards PersonY--is stared at
oEffect,xIntent,PersonX looks towards PersonY--waves back
oEffect,xIntent,PersonX tells PersonY to stay--receives invite to stay
oEffect,xIntent,PersonX tells PersonY to stay--is thanked by Person Y
oEffect,xIntent,PersonX becomes PersonY wife--smiles
oEffect,xIntent,PersonX becomes PersonY wife--get married
oEffect,xIntent,PersonX becomes PersonY wife--unite
oEffect,xIntent,PersonX comes face to face--exchange greetings
oEffect,xIntent,PersonX explains PersonX's actions--none
oEffect,xIntent,PersonX explains PersonX's actions--none
oEffect,xIntent,PersonX fulfills PersonX's mission--loses his job
oEffect,xIntent,PersonX fulfills PersonX's mission--gets fired
oEffect,xIntent,PersonX lays upon PersonY--feels her breath
oEffect,xIntent,PersonX lays upon PersonY--Gets hurt
oEffect,xIntent,PersonX accepts PersonY offer--get item they bought
oEffect,xIntent,PersonX understands PersonY better--is allowed to talk and is accepted by the other person
oEffect,xIntent,PersonX presents PersonY appearance--turn around for people to see
oEffect,xIntent,PersonX presents PersonY appearance--understand
oEffect,xIntent,PersonX shows PersonY increase--none
oEffect,xIntent,PersonX shows PersonY increase--none
oEffect,xIntent,PersonX offered PersonX's hand--receives support
oEffect,xIntent,PersonX offered PersonX's hand--gives thanks
oEffect,xIntent,PersonX kisses PersonY on the mouth--gets STD
oEffect,xIntent,PersonX left behind PersonY--becomes alone
oEffect,xIntent,PersonX left behind PersonY--loses way
oEffect,xIntent,PersonX asks PersonY to go--leaves
oEffect,xIntent,PersonX writes PersonY's letters--writes letter back
oEffect,xIntent,PersonX makes PersonX's contribution--they contribute to
oEffect,xIntent,PersonX makes PersonX's contribution--they help other people
oEffect,xIntent,PersonX makes PersonX's contribution--gain something.
oEffect,xIntent,PersonX makes PersonX's contribution--have more than they did.
oEffect,xIntent,PersonX loves PersonY's neighbor--none
oEffect,xIntent,PersonX sees PersonY's daughter--none
oEffect,xIntent,PersonX makes upon PersonY--becomes angry
oEffect,xIntent,PersonX makes upon PersonY--gets irritated
oEffect,xIntent,PersonX gets PersonY start--get's going
oEffect,xIntent,PersonX gets PersonY start--starts
oEffect,xIntent,PersonX gets PersonY start--listens to Person Y
oEffect,xIntent,PersonX sets PersonY aside--is given directions
oEffect,xIntent,PersonX sets PersonY aside--is shunned
oEffect,xIntent,PersonX sees PersonX's children--gets huged
oEffect,xIntent,PersonX states PersonY's case--is taken to jail
oEffect,xIntent,PersonX states PersonY's case--gets told off
oEffect,xIntent,PersonX states PersonY's case--is talked to.
oEffect,xIntent,PersonX states PersonY's case--waits for a decision
oEffect,xIntent,PersonX states PersonY's case--hopes things go well
oEffect,xIntent,PersonX sits upon the throne--gets ordered around
oEffect,xIntent,PersonX writes PersonY's novel--publishes the novel
oEffect,xIntent,PersonX writes PersonY's novel--receives compensation
oEffect,xIntent,PersonX becomes PersonY's wife--is loved
oEffect,xIntent,PersonX becomes PersonY's wife--gets hurt
oEffect,xIntent,PersonX becomes PersonY's wife--becomes pregnant
oEffect,xIntent,PersonX expresses PersonX's thanks--see's them as grateful
oEffect,xIntent,PersonX expresses PersonX's thanks--makes a new friend
oEffect,xIntent,PersonX negotiates PersonY agreement--Has agreement
oEffect,xIntent,PersonX fulfils PersonX's needs--is taken care of
oEffect,xIntent,PersonX fulfils PersonX's needs--is provided for
oEffect,xIntent,PersonX joins PersonY's ranks--gains a member
oEffect,xIntent,PersonX joins PersonY's ranks--gets additional support
oEffect,xIntent,PersonX joins PersonY's ranks--has to share the spotlight with someone else
oEffect,xIntent,PersonX knows PersonY enough--misses out on a close relationship
oEffect,xIntent,PersonX loses PersonX's soul--none
oEffect,xIntent,PersonX loses PersonX's soul--none
oEffect,xIntent,PersonX loses PersonX's soul--none
oEffect,xIntent,PersonX gives PersonY the news--looks shocked
oEffect,xIntent,PersonX reaches PersonY's height--none
oEffect,xIntent,PersonX reaches PersonY's height--none
oEffect,xIntent,PersonX designs PersonY system--pays bill
oEffect,xIntent,PersonX discusses PersonX's problems--is inspired to do something
oEffect,xIntent,PersonX makes PersonY agreement--signs the contract
oEffect,xIntent,PersonX makes PersonY agreement--do the work
oEffect,xIntent,PersonX gives PersonY a sense--none
oEffect,xIntent,PersonX defeats PersonY's purpose--NONE
oEffect,xIntent,PersonX defeats PersonY's purpose--NONE
oEffect,xIntent,PersonX defeats PersonY's purpose--loses something
oEffect,xIntent,PersonX defeats PersonY's purpose--loses confidence
oEffect,xIntent,PersonX defeats PersonY's purpose--none
oEffect,xIntent,PersonX risks PersonY's lives--gets scared
oEffect,xIntent,PersonX risks PersonY's lives--starts screaming
oEffect,xIntent,PersonX sees PersonX's daughter--gets huged
oEffect,xIntent,PersonX sees PersonX's daughter--gets dirty
oEffect,xIntent,PersonX sees PersonX's daughter--none
oEffect,xIntent,PersonX sees PersonX's daughter--none
oEffect,xIntent,PersonX gives PersonY birth--gets held
oEffect,xIntent,PersonX plays PersonY instrument--watches
oEffect,xIntent,PersonX plays PersonY instrument--is humbled
oEffect,xIntent,PersonX lays down PersonX's arms--is victorious
oEffect,xIntent,PersonX lays down PersonX's arms--stops fighting
oEffect,xIntent,PersonX takes off PersonX's coat--none
oEffect,xIntent,PersonX takes off PersonX's coat--none
oEffect,xIntent,PersonX discharges PersonY's duty--they e itlso
oEffect,xIntent,PersonX discharges PersonY's duty--it gets lost
oEffect,xIntent,PersonX discharges PersonY's duty--becomes scared
oEffect,xIntent,PersonX reaches PersonY understanding--knows they understand
oEffect,xIntent,PersonX reaches PersonY understanding--wants to teach them more
oEffect,xIntent,PersonX finds PersonY opportunity--has an opportunity
oEffect,xIntent,PersonX finds PersonY opportunity--ability to make money
oEffect,xIntent,PersonX finds PersonY opportunity--none
oEffect,xIntent,PersonX returns to PersonY's homeland--wants they to see their country
oEffect,xIntent,PersonX returns to PersonY's homeland--has someone to talk to about their home
oEffect,xIntent,PersonX folds in PersonX's lap--none
oEffect,xIntent,PersonX folds in PersonX's lap--none
oEffect,xIntent,PersonX celebrates PersonX's anniversary--blushes
oEffect,xIntent,PersonX celebrates PersonX's anniversary--falls in love again
oEffect,xIntent,PersonX gives rise to PersonY--smiles
oEffect,xIntent,PersonX gives rise to PersonY--frowns
oEffect,xIntent,PersonX gives rise to PersonY--none
oEffect,xIntent,PersonX sees PersonY opportunity--none
oEffect,xIntent,PersonX sees PersonY opportunity--none
oEffect,xIntent,PersonX furthers PersonY's ends--accomplish something
oEffect,xIntent,PersonX cuts off PersonY's retreat--cannot escape
oEffect,xIntent,PersonX cuts off PersonY's retreat--face capture
oEffect,xIntent,PersonX cuts off PersonY's retreat--none
oEffect,xIntent,PersonX cuts off PersonY's retreat--none
oEffect,xIntent,PersonX blows PersonY's brains out--none
oEffect,xIntent,PersonX blows PersonY's brains out--gets hurt
oEffect,xIntent,PersonX blows PersonY's brains out--dies
oEffect,xIntent,PersonX murders PersonY's wife--seeks retribution
oEffect,xIntent,PersonX holds PersonY hand--smiles
oEffect,xIntent,PersonX uses PersonX's power--focuses on more important things
oEffect,xIntent,PersonX increases PersonY's rate--gets tired
oEffect,xIntent,PersonX increases PersonY's rate--gets higher bonus
oEffect,xIntent,PersonX makes PersonY feel better--smiles
oEffect,xIntent,PersonX asks PersonY's mother--gives answer
oEffect,xIntent,PersonX asks PersonY's mother--is happy
oEffect,xIntent,PersonX makes PersonY's feel--makes a friend
oEffect,xIntent,PersonX goes out with PersonY's friends--goes to the bar
oEffect,xIntent,PersonX goes out with PersonY's friends--drinks beer
oEffect,xIntent,PersonX holds PersonY's hand--They scream
oEffect,xIntent,PersonX holds PersonY's hand--pulls it away
oEffect,xIntent,PersonX takes PersonY to dinner--goes to dinner
oEffect,xIntent,PersonX feels bad for PersonY--none
oEffect,xIntent,PersonX feels bad for PersonY--none
oEffect,xIntent,PersonX feels bad for PersonY--none
oEffect,xIntent,PersonX tells PersonY's dad--none
oEffect,xIntent,PersonX tells PersonY's dad--Gets grounded
oEffect,xIntent,PersonX saves PersonY's money--starts crying
oEffect,xIntent,PersonX faces PersonY's fear--has a better time with their fear
oEffect,xIntent,PersonX faces PersonY's fear--learns not to be scared
oEffect,xIntent,PersonX walks PersonY's dog--less money
oEffect,xIntent,PersonX walks PersonY's dog--has more time
oEffect,xIntent,PersonX shows PersonY's friends--see something new
oEffect,xIntent,PersonX shows PersonY's friends--learn something
oEffect,xIntent,PersonX tells PersonY's husband--cries
oEffect,xIntent,PersonX tells PersonY's husband--runs in despair
oEffect,xIntent,PersonX tells PersonY's husband--Jumps back in surprise
oEffect,xIntent,PersonX calls PersonY's boss--experience difficulties at work
oEffect,xIntent,PersonX challenges ___ to a game--grins back
oEffect,xIntent,PersonX closes PersonY's eyes--becomes frustrated
oEffect,xIntent,PersonX closes PersonY's eyes--screams
oEffect,xIntent,PersonX saves up PersonY's money--Spends money
oEffect,xIntent,PersonX saves up PersonY's money--have greater savings
oEffect,xIntent,PersonX saves up PersonY's money--can invest funds
oEffect,xIntent,PersonX feels a lot better--none
oEffect,xIntent,PersonX feels a lot better--none
oEffect,xIntent,PersonX feels a lot better--none
oEffect,xIntent,PersonX makes PersonY's feel better--none
oEffect,xIntent,PersonX makes PersonY's feel better--receives support
oEffect,xIntent,PersonX makes PersonY's feel better--smiles
oEffect,xIntent,PersonX takes PersonY's test--will remain unintelligent.
oEffect,xIntent,PersonX takes PersonY's test--get caught for cheating.
oEffect,xIntent,PersonX accepts PersonY's offer--signs papers
oEffect,xIntent,PersonX plans PersonY's wedding--attends an event
oEffect,xIntent,PersonX plans PersonY's wedding--gets married
oEffect,xIntent,PersonX clicks on the email button--received a reply email
oEffect,xIntent,PersonX clicks on the email button--read email
oEffect,xIntent,PersonX makes PersonY mad--yells
oEffect,xIntent,PersonX makes PersonY mad--none
oEffect,xIntent,PersonX crosses PersonY's arms--laughs
oEffect,xIntent,PersonX rubs PersonY's head--gets an itch on head
oEffect,xIntent,PersonX rubs PersonY's head--person x feels good
oEffect,xIntent,PersonX rubs PersonY's head--person x is chill
oEffect,xIntent,PersonX gives PersonY PersonY's number--can call Y on the phone
oEffect,xIntent,PersonX proves PersonY's point--listens
oEffect,xIntent,PersonX wraps around PersonY's neck--person x gets hurt
oEffect,xIntent,PersonX claps PersonY's hands--claps
oEffect,xIntent,PersonX wraps around PersonY--takes on their scent
oEffect,xIntent,PersonX wraps around PersonY--panics
oEffect,xIntent,PersonX wraps around PersonY--hugs back
oEffect,xIntent,PersonX holds PersonY's head--is now safe
oEffect,xIntent,PersonX feels PersonY's hands--are touched
oEffect,xIntent,PersonX feels PersonY's hands--are felt
oEffect,xIntent,PersonX holds up PersonY's hand--be happy
oEffect,xIntent,PersonX holds up PersonY's hand--to be bold
oEffect,xIntent,PersonX holds up PersonY's hand--person y answers a question
oEffect,xIntent,PersonX holds up PersonY's hand--person y answers another question
oEffect,xIntent,PersonX swings PersonY's legs--moves legs
oEffect,xIntent,PersonX shakes PersonY's hand--meets someone
oEffect,xIntent,PersonX shakes PersonY's hand--gets sweaty palms
oEffect,xIntent,PersonX shakes PersonY's hand--grips peronsy's hand to tight
oEffect,xIntent,PersonX talks to PersonY today--talks
oEffect,xIntent,PersonX talks to PersonY today--listens
oEffect,xIntent,PersonX goes shopping with PersonY--gets suggestions on shopping
oEffect,xIntent,PersonX goes shopping with PersonY--pays the bill
oEffect,xIntent,PersonX goes shopping with PersonY--gets excited
oEffect,xIntent,PersonX goes shopping with PersonY--gets bored
oEffect,xIntent,PersonX goes shopping with PersonY--gets tired
oEffect,xIntent,PersonX means the world to PersonY--gets married
oEffect,xIntent,PersonX means the world to PersonY--gets engaged
oEffect,xIntent,PersonX means the world to PersonY--none
oEffect,xIntent,PersonX means the world to PersonY--none
oEffect,xIntent,PersonX crosses PersonY's arms over PersonY's chest--is creeped out
